timestamp,temp_c,humid_percent
2026-02-13 09:54:12.956267,Error,Error
2026-02-13 09:54:12.956267,Error,Error
2026-02-13 09:54:12.956267,22.2,62.6
2026-02-13 10:05:42.590007,22.2,61.8
2026-02-13 10:12:32.776433,22.3,62.3
2026-02-13 10:14:03.297531,22.2,62.7
